conditionId	conditionName	Cytoplasm	Extracellular	Nucleus	Mitochondrion
standard	Erdem et al. 2022	5.2500E-12	5.0000E-05	1.7500E-12	3.6750E-13
lineage_paper	Mutsuddy at al. 2024	5.2500E-12	8.0000E-08	1.7500E-12	3.6750E-13

